"Vijfhuizen","Vijfhuizen"
"Ville-Pommerœul","Ville Pommerœul"
"Villers-la-Ville","Villers la Ville"
"Vilvoorde","Vilvoorde"
"Virton","Virton"
"Visé","Visé"
"Viville","Viville"
"Voroux","Voroux"
"Waarschoot","Waarschoot"
"Walcourt","Walcourt"
"Waregem","Waregem"
"Waremme","Waremme"
"Waterloo","Waterloo"
"Watermaal/Watermael","Watermaal Watermael"
"Wavre","Wavre"
"Weerde","Weerde"
"Welkenraedt","Welkenraedt"
"Welle","Welle"
"Wervik","Wervik"
"Wespelaar-Tildonk","Wespelaar Tildonk"
"Wetteren","Wetteren"
"Wevelgem","Wevelgem"
"Wezemaal","Wezemaal"
"Wichelen","Wichelen"
"Wijgmaal","Wijgmaal"
"Wildert","Wildert"
"Willebroek","Willebroek"
"Wolfstee","Wolfstee"
"Wondelgem","Wondelgem"
"Yves-Gomezée","Yves Gomezée"
"Yvoir","Yvoir"
"Zandbergen","Zandbergen"
"Zaventem","Zaventem"
"Zedelgem","Zedelgem"
"Zeebrugge-Dorp","Zeebrugge Dorp"
"Zeebrugge-Strand","Zeebrugge Strand"
"Zele","Zele"
"Zellik","Zellik"
"Zichem","Zichem"
"Zingem","Zingem"
"Zolder","Zolder"
"Zonhoven","Zonhoven"
"Zottegem","Zottegem"
"Zwankendamme","Zwankendamme"
"Zwijndrecht","Zwijndrecht"
"Amsterdam CS","Amsterdam CS"
"Den Haag HS","Den Haag HS"
"Dordrecht","Dordrecht"
"Eijsden","Eijsden"
"Maastricht","Maastricht"
"Maastricht Randwyck","Maastricht Randwyck"
"Roosendaal","Roosendaal"
"Rotterdam CS","Rotterdam CS"
"Schiphol","Schiphol"
"Aéroport Charles-de-Gaulle TGV","Aéroport Charles de Gaulle TGV"
"Haute-Picardie TGV","Haute Picardie TGV"
"Aix-en-Provence TGV","Aix en Provence TGV"
"Annappes","Annappes"
"Antibes","Antibes"
"Ascq","Ascq"
"Avignon TGV","Avignon TGV"
"Baisieux","Baisieux"
"Cannes","Cannes"
"Colmar","Colmar"
"Croix l'Allumette","Croix l'Allumette"
"Croix Wasquehal","Croix Wasquehal"
"Hellemmes","Hellemmes"
"Les Arcs - Draguignan","Les Arcs   Draguignan"
"Lezennes","Lezennes"
"Lille Europe","Lille Europe"
"Lille Flandres","Lille Flandres"
"Lyon Part Dieu TGV","Lyon Part Dieu TGV"
"Lyon-Perrache TGV","Lyon Perrache TGV"
"Lyon-Saint Exupéry TGV","Lyon Saint Exupéry TGV"
"Marne-la-Vallée - Chessy","Marne la Vallée   Chessy"
"Marseille-Saint-Charles","Marseille Saint Charles"
"Metz","Metz"
"Montpellier","Montpellier"
"Mulhouse","Mulhouse"
"Nice Ville","Nice Ville"
"Nîmes","Nîmes"
"Paris Nord","Paris Nord"
"Pont de Bois","Pont de Bois"
"Roubaix","Roubaix"
"Saint-Louis-Haut-Rhin","Saint Louis Haut Rhin"
"Saint-Raphaël-Valescure","Saint Raphaël Valescure"
"Saverne","Saverne"
"Selestat","Selestat"
"Strasbourg","Strasbourg"
"Thionville","Thionville"
"Narbonne","Narbonne"
"Béziers","Béziers"
"Chambéry-Challes-les-Eaux","Chambéry Challes les Eaux"
"Albertville","Albertville"
"Moûtiers-Salins-Brides-les-Bai","Moûtiers Salins Brides les Bai"
"Aime-la-Plagne","Aime la Plagne"
"Landry","Landry"
"Bourg-Saint-Maurice","Bourg Saint Maurice"
"Agde","Agde"
"Sète","Sète"
"Perpignan","Perpignan"
"Toulon","Toulon"
"Tourcoing","Tourcoing"
"Valence TGV","Valence TGV"
"Aachen Hbf","Aachen Hbf"
"Düsseldorf Hbf","Düsseldorf Hbf"
"Düsseldorf Flughafen Hbf","Düsseldorf Flughafen Hbf"
"Essen Hbf","Essen Hbf"
"Duisburg Hbf","Duisburg Hbf"
"Frankfurt am Main Flughafen","Frankfurt am Main Flughafen"
"Frankfurt am Main Hbf","Frankfurt am Main Hbf"
"Köln Hbf","Köln Hbf"
"Siegburg","Siegburg"
"Limburg Süd","Limburg Süd"
"Bertrange Strassen","Bertrange Strassen"
"Clervaux","Clervaux"
"Drauffelt","Drauffelt"
"Ettelbréck","Ettelbréck"
"Capellen","Capellen"
"Kautebaach","Kautebaach"
"Klengbetten","Klengbetten"
"Lëtzebuerg","Lëtzebuerg"
"Mamer","Mamer"
"Mamer-Lycée","Mamer Lycée"
"Mersch","Mersch"
"Rodange","Rodange"
"Troisvierges","Troisvierges"
"Wilwerwiltz","Wilwerwiltz"
"Basel","Basel"
"Ebbsfleet International","Ebbsfleet International"
"London Saint Pancras International","London Saint Pancras International"
"Thurn en Taxis/Tour et Taxis","Thurn en Taxis Tour et Taxis"
"Mouterij/Germoir","Mouterij Germoir"
"Arcaden/Arcades","Arcaden Arcades"
